season,mnth,holiday,weekday,weathersit,temp,hum,windspeed,casual,registered
3,8,0,6,1,0.678333,0.603333,0.177867,2827,5038
2,6,0,6,1,0.631667,0.504167,0.166667,2963,4739
3,7,0,6,1,0.804167,0.465833,0.168537,1559,2916
1,2,0,5,1,0.189091,0.506364,0.10855,149,1597
3,7,0,4,1,0.680833,0.47625,0.240667,888,4196
4,11,0,2,1,0.408333,0.721667,0.0690375,376,3829
4,10,0,0,1,0.319167,0.62375,0.176617,885,2446
1,2,0,0,2,0.265833,0.687917,0.175996,318,2629
3,7,0,0,1,0.721667,0.62375,0.170396,2153,4444
2,6,0,6,1,0.710833,0.437083,0.144287,2708,4790
1,3,0,6,2,0.384167,0.789167,0.251871,640,1437
3,6,0,3,1,0.6975,0.36,0.271775,1077,6258
1,3,0,5,2,0.261667,0.610417,0.203346,214,1730
1,3,0,6,1,0.4725,0.379167,0.368167,1424,1693
2,3,0,1,1,0.445833,0.477917,0.386821,795,4763
4,12,0,2,2,0.353333,0.596667,0.296037,282,5219
2,6,0,4,1,0.6025,0.567083,0.15735,1038,6456
1,1,0,3,1,0.294167,0.64375,0.161071,467,3803
4,11,0,3,2,0.295833,0.5475,0.304108,326,4709
4,11,1,4,1,0.34,0.580417,0.0528708,955,1470
2,5,0,4,1,0.655,0.716667,0.172896,1059,5711
1,2,0,1,2,0.407273,0.876364,0.289686,81,1365
1,2,0,3,2,0.256667,0.722917,0.133721,109,2693
2,6,0,2,2,0.653333,0.833333,0.214546,477,4495
3,8,0,6,2,0.685833,0.729583,0.211454,1504,2646
2,3,0,2,1,0.323333,0.29,0.187192,531,4571
1,2,0,5,2,0.4075,0.7375,0.237567,246,3241
4,10,0,1,1,0.4875,0.568333,0.0814833,830,6228
3,9,0,3,3,0.599167,0.917083,0.0970208,118,1878
4,11,0,5,1,0.345,0.524583,0.171025,484,5214
1,1,0,2,2,0.223478,0.616957,0.129796,186,1799
2,5,0,2,2,0.581667,0.685833,0.296029,738,4990
4,10,0,5,1,0.4275,0.574167,0.221396,676,3628
4,10,0,3,1,0.538333,0.647917,0.17725,559,4267
4,10,0,4,1,0.475833,0.63625,0.422275,471,3724
1,12,0,6,1,0.41,0.615833,0.220154,665,1820
3,8,0,0,1,0.700833,0.530417,0.122512,2182,4362
2,5,0,5,1,0.6275,0.735417,0.162938,1069,5227
2,5,0,0,1,0.6675,0.81875,0.213938,2355,2433
3,8,0,3,1,0.656667,0.597917,0.0833333,688,4370
2,4,0,0,1,0.456667,0.479583,0.303496,1558,2186
1,1,0,3,1,0.172727,0.599545,0.304627,25,1137
2,5,0,3,2,0.621667,0.774583,0.102,766,4494
2,5,0,3,2,0.575,0.744167,0.216412,620,4097
4,10,0,0,1,0.464167,0.51,0.166054,2132,4692
1,1,0,5,1,0.334167,0.542083,0.167908,307,3791
1,2,0,5,2,0.364348,0.712174,0.346539,120,1341
3,7,0,0,1,0.8225,0.57375,0.125629,1203,3469
3,9,0,3,1,0.673333,0.697083,0.1673,647,4138
2,5,0,6,1,0.655833,0.729583,0.230092,2001,2757
3,8,0,2,1,0.700833,0.578333,0.236329,721,4004
1,12,0,1,2,0.215833,0.5775,0.154846,439,2290
2,4,0,4,2,0.498333,0.756667,0.176625,475,4551
3,9,0,2,2,0.561667,0.88125,0.134954,438,3203
4,12,0,3,1,0.438333,0.485,0.324021,331,5398
1,12,0,5,2,0.253333,0.59,0.155471,644,2451
1,3,0,4,1,0.5275,0.5675,0.441563,486,4896
1,3,0,0,1,0.3325,0.47375,0.207721,1047,1424
2,3,0,4,1,0.494167,0.439167,0.31965,834,5299
2,3,0,4,2,0.285,0.805833,0.243787,166,1699
2,5,0,2,2,0.611667,0.794583,0.147392,625,4490
4,12,0,1,1,0.276667,0.6375,0.172896,260,3143
2,5,0,4,1,0.593333,0.52,0.229475,1242,6142
2,3,0,1,2,0.430435,0.737391,0.288783,401,1676
4,12,0,3,3,0.41,0.970417,0.266175,50,655
2,4,0,4,1,0.4675,0.540417,0.1107,529,2738
2,6,0,3,1,0.655833,0.582083,0.343279,1173,6248
4,12,0,1,2,0.435833,0.925,0.190308,329,4841
2,5,0,5,2,0.5125,0.863333,0.179725,692,3413
